Stock market proxy (CRPS NYSE, Amex and Nasdaq value-weighted index of all listed shares - value weighted daily return)
DATE,vwretd
2010-09-27,-0.004459
2010-09-28,0.005787
2010-09-29,-0.001083
2010-09-30,-0.001975
2010-10-01,0.004939
2010-10-04,-0.008293
2010-10-05,0.020563
2010-10-06,-0.000333
2010-10-07,-0.002121
2010-10-08,0.007621
2010-10-11,0.000566
2010-10-12,0.003647
2010-10-13,0.008784
2010-10-14,-0.003666
2010-10-15,0.000702
2010-10-18,0.006296
2010-10-19,-0.017210
2010-10-20,0.011274
2010-10-21,0.000265
2010-10-22,0.002654
2010-10-25,0.003724
2010-10-26,-0.000427
2010-10-27,-0.003317
2010-10-28,0.001141
2010-10-29,0.001662
2010-11-01,0.000145
2010-11-02,0.009053
2010-11-03,0.003439
2010-11-04,0.019913
2010-11-05,0.004019
2010-11-08,-0.000910
2010-11-09,-0.008463
2010-11-10,0.005389
2010-11-11,-0.003605
2010-11-12,-0.013391
2010-11-15,-0.001330
2010-11-16,-0.016850
2010-11-17,0.001622
2010-11-18,0.015558
2010-11-19,0.003742
2010-11-22,-0.000273
2010-11-23,-0.014121
2010-11-24,0.015679
2010-11-26,-0.006877
2010-11-29,-0.000917
2010-11-30,-0.005788
2010-12-01,0.020817
2010-12-02,0.012228
2010-12-03,0.003962
2010-12-06,0.000025
2010-12-07,0.000191
2010-12-08,0.001544
2010-12-09,0.003574
2010-12-10,0.006422
2010-12-13,0.000182
2010-12-14,0.000271
2010-12-15,-0.005256
2010-12-16,0.005846
2010-12-17,0.001571
2010-12-20,0.001818
2010-12-21,0.007205
2010-12-22,0.003135
2010-12-23,-0.001198
2010-12-27,0.000668
2010-12-28,0.000786
2010-12-29,0.002732
2010-12-30,-0.000803
2010-12-31,-0.000232
2011-01-03,0.011212
2011-01-04,-0.003895
2011-01-05,0.005382
2011-01-06,-0.002515
2011-01-07,-0.001949
2011-01-10,-0.000709
2011-01-11,0.005048
2011-01-12,0.009014
2011-01-13,-0.001889
2011-01-14,0.006630
2011-01-18,0.002176
2011-01-19,-0.012250
2011-01-20,-0.003837
2011-01-21,0.001261
2011-01-24,0.006289
2011-01-25,-0.000428
2011-01-26,0.007332
2011-01-27,0.002133
2011-01-28,-0.017202
2011-01-31,0.007617
2011-02-01,0.017025
2011-02-02,-0.002229
2011-02-03,0.002924
2011-02-04,0.002176
2011-02-07,0.006123
2011-02-08,0.004549
2011-02-09,-0.003443
2011-02-10,0.001336
2011-02-11,0.006111
2011-02-14,0.003401
2011-02-15,-0.003182
2011-02-16,0.007533
2011-02-17,0.003947
2011-02-18,0.001222
2011-02-22,-0.021060
2011-02-23,-0.006562
2011-02-24,-0.000133
2011-02-25,0.012937
2011-02-28,0.005329
2011-03-01,-0.014899
2011-03-02,0.002852
2011-03-03,0.016096
2011-03-04,-0.005901
2011-03-07,-0.009407
2011-03-08,0.008080
2011-03-09,-0.002434
2011-03-10,-0.019788
2011-03-11,0.006951
2011-03-14,-0.005489
2011-03-15,-0.011151
2011-03-16,-0.016642
2011-03-17,0.012213
2011-03-18,0.004860
2011-03-21,0.016440
2011-03-22,-0.003234
2011-03-23,0.002876
2011-03-24,0.008544
2011-03-25,0.003113
2011-03-28,-0.003335
2011-03-29,0.007160
2011-03-30,0.008218
2011-03-31,-0.000593
2011-04-01,0.005433
2011-04-04,0.001160
2011-04-05,0.001326
2011-04-06,0.001737
2011-04-07,-0.002252
2011-04-08,-0.003389
2011-04-11,-0.004734
2011-04-12,-0.009253
2011-04-13,0.001298
2011-04-14,0.000539
2011-04-15,0.003973
2011-04-18,-0.011622
2011-04-19,0.005708
2011-04-20,0.014273
2011-04-21,0.005889
2011-04-25,-0.001856
2011-04-26,0.008145
2011-04-27,0.006150
2011-04-28,0.002931
2011-04-29,0.003119
2011-05-02,-0.003556
2011-05-03,-0.006647
2011-05-04,-0.007976
2011-05-05,-0.009455
2011-05-06,0.004607
2011-05-09,0.006152
2011-05-10,0.008462
2011-05-11,-0.012229
2011-05-12,0.004040
2011-05-13,-0.008906
2011-05-16,-0.006959
2011-05-17,-0.000647
2011-05-18,0.010749
2011-05-19,0.002334
2011-05-20,-0.006774
2011-05-23,-0.013016
2011-05-24,-0.000403
2011-05-25,0.005078
2011-05-26,0.005337
2011-05-27,0.005110
2011-05-31,0.010293
2011-06-01,-0.023082
2011-06-02,-0.000631
2011-06-03,-0.009298
2011-06-06,-0.012456
2011-06-07,0.000287
2011-06-08,-0.005975
2011-06-09,0.007456
2011-06-10,-0.014079
2011-06-13,-0.000908
2011-06-14,0.013866
2011-06-15,-0.017302
2011-06-16,-0.000117
2011-06-17,0.002157
2011-06-20,0.005343
2011-06-21,0.015899
2011-06-22,-0.005482
2011-06-23,-0.002590
2011-06-24,-0.010575
2011-06-27,0.008070
2011-06-28,0.013694
2011-06-29,0.008738
2011-06-30,0.009702
2011-07-01,0.013475
2011-07-05,-0.000024
2011-07-06,0.001143
2011-07-07,0.010635
2011-07-08,-0.006343
2011-07-11,-0.019356
2011-07-12,-0.003812
2011-07-13,0.005006
2011-07-14,-0.008051
2011-07-15,0.006170
2011-07-18,-0.009490
2011-07-19,0.016167
2011-07-20,0.000059
2011-07-21,0.012262
2011-07-22,0.001437
2011-07-25,-0.006279
2011-07-26,-0.004540
2011-07-27,-0.021650
2011-07-28,-0.002935
2011-07-29,-0.005607
2011-08-01,-0.003619
2011-08-02,-0.025672
2011-08-03,0.004954
2011-08-04,-0.050378
2011-08-05,-0.004794
2011-08-08,-0.068712
2011-08-09,0.051244
2011-08-10,-0.038591
2011-08-11,0.045274
2011-08-12,0.004753
2011-08-15,0.022835
2011-08-16,-0.010898
2011-08-17,0.000841
2011-08-18,-0.045340
2011-08-19,-0.015359
2011-08-22,0.000040
2011-08-23,0.033764
2011-08-24,0.011574
2011-08-25,-0.015902
2011-08-26,0.016430
2011-08-29,0.029636
2011-08-30,0.003763
2011-08-31,0.005093
2011-09-01,-0.012131
2011-09-02,-0.024645
2011-09-06,-0.008152
2011-09-07,0.029164
2011-09-08,-0.010889
2011-09-09,-0.026597
2011-09-12,0.004134
2011-09-13,0.010803
2011-09-14,0.012798
2011-09-15,0.015480
2011-09-16,0.003557
2011-09-19,-0.010951
2011-09-20,-0.004116
2011-09-21,-0.029444
2011-09-22,-0.034428
2011-09-23,0.005755
2011-09-26,0.021597
2011-09-27,0.012849
2011-09-28,-0.023703
2011-09-29,0.008235
2011-09-30,-0.024641
2011-10-03,-0.031922
2011-10-04,0.023667
2011-10-05,0.019662
2011-10-06,0.020566
2011-10-07,-0.010947
2011-10-10,0.034277
2011-10-11,0.001058
2011-10-12,0.011820
2011-10-13,-0.002954
2011-10-14,0.017735
2011-10-17,-0.020861
2011-10-18,0.020792
2011-10-19,-0.014171
2011-10-20,0.003898
2011-10-21,0.019264
2011-10-24,0.016798
2011-10-25,-0.019838
2011-10-26,0.011520
2011-10-27,0.036253
2011-10-28,0.000259
2011-10-31,-0.024655
2011-11-01,-0.028627
2011-11-02,0.017082
2011-11-03,0.019202
2011-11-04,-0.005570
2011-11-07,0.004900
2011-11-08,0.011216
2011-11-09,-0.037861
2011-11-10,0.007432
2011-11-11,0.019762
2011-11-14,-0.009371
2011-11-15,0.004531
2011-11-16,-0.015099
2011-11-17,-0.017213
2011-11-18,-0.000287
2011-11-21,-0.018665
2011-11-22,-0.003943
2011-11-23,-0.023246
2011-11-25,-0.003625
2011-11-28,0.030531
2011-11-29,0.002261
2011-11-30,0.043900
2011-12-01,-0.002276
2011-12-02,0.000109
2011-12-05,0.010297
2011-12-06,0.000382
2011-12-07,0.001915
2011-12-08,-0.022874
2011-12-09,0.017744
2011-12-12,-0.015558
2011-12-13,-0.011256
2011-12-14,-0.012735
2011-12-15,0.003744
2011-12-16,0.004972
2011-12-19,-0.012675
2011-12-20,0.030035
2011-12-21,0.002025
2011-12-22,0.008913
2011-12-23,0.007865
2011-12-27,0.000015
2011-12-28,-0.013647
2011-12-29,0.010781
2011-12-30,-0.002577
2012-01-03,0.016171
2012-01-04,-0.000454
2012-01-05,0.002932
2012-01-06,-0.002902
2012-01-09,0.002816
2012-01-10,0.010417
2012-01-11,0.000946
2012-01-12,0.003058
2012-01-13,-0.005319
2012-01-17,0.003902
2012-01-18,0.012304
2012-01-19,0.005595
2012-01-20,0.000882
2012-01-23,0.001609
2012-01-24,-0.000800
2012-01-25,0.009947
2012-01-26,-0.004903
2012-01-27,0.000702
2012-01-30,-0.003738
2012-01-31,-0.000083
2012-02-01,0.011210
2012-02-02,0.001833
2012-02-03,0.014682
2012-02-06,-0.000988
2012-02-07,0.001394
2012-02-08,0.002186
2012-02-09,0.001001
2012-02-10,-0.008389
2012-02-13,0.007442
2012-02-14,-0.001553
2012-02-15,-0.004222
2012-02-16,0.012475
2012-02-17,0.001385
2012-02-21,0.000156
2012-02-22,-0.003129
2012-02-23,0.005702
2012-02-24,0.001498
2012-02-27,0.000806
2012-02-28,0.002909
2012-02-29,-0.005684
2012-03-01,0.006807
2012-03-02,-0.004921
2012-03-05,-0.004560
2012-03-06,-0.017384
2012-03-07,0.007946
2012-03-08,0.010866
2012-03-09,0.004501
2012-03-12,-0.001366
2012-03-13,0.017621
2012-03-14,-0.003912
2012-03-15,0.006515
2012-03-16,0.001328
2012-03-19,0.004003
2012-03-20,-0.004507
2012-03-21,-0.001114
2012-03-22,-0.008117
2012-03-23,0.004484
2012-03-26,0.013964
2012-03-27,-0.003663
2012-03-28,-0.005519
2012-03-29,-0.001899
2012-03-30,0.003355
2012-04-02,0.008049
2012-04-03,-0.004445
2012-04-04,-0.011819
2012-04-05,-0.000801
2012-04-09,-0.011379
2012-04-10,-0.018023
2012-04-11,0.008519
2012-04-12,0.015087
2012-04-13,-0.012396
2012-04-16,-0.000582
2012-04-17,0.014951
2012-04-18,-0.004040
2012-04-19,-0.004662
2012-04-20,0.001632
2012-04-23,-0.009542
2012-04-24,0.003247
2012-04-25,0.013825
2012-04-26,0.006830
2012-04-27,0.003897
2012-04-30,-0.004314
2012-05-01,0.004876
2012-05-02,-0.002050
2012-05-03,-0.009948
2012-05-04,-0.015675
2012-05-07,0.000555
2012-05-08,-0.005355
2012-05-09,-0.006018
2012-05-10,0.002858
2012-05-11,-0.002767
2012-05-14,-0.012174
2012-05-15,-0.006030
2012-05-16,-0.004928
2012-05-17,-0.015851
2012-05-18,-0.008146
2012-05-21,0.017760
2012-05-22,-0.000478
2012-05-23,0.002815
2012-05-24,0.000983
2012-05-25,-0.001541
2012-05-29,0.011225
2012-05-30,-0.015504
2012-05-31,-0.001977
2012-06-01,-0.024513
2012-06-04,-0.001015
2012-06-05,0.007864
2012-06-06,0.022700
2012-06-07,-0.001369
2012-06-08,0.007115
2012-06-11,-0.013967
2012-06-12,0.011646
2012-06-13,-0.006954
2012-06-14,0.009500
2012-06-15,0.010111
2012-06-18,0.002190
2012-06-19,0.011640
2012-06-20,-0.001471
2012-06-21,-0.023472
2012-06-22,0.007254
2012-06-25,-0.015450
2012-06-26,0.004870
2012-06-27,0.009036
2012-06-28,-0.002109
2012-06-29,0.025635
2012-07-02,0.003868
2012-07-03,0.008966
2012-07-05,-0.004144
2012-07-06,-0.009964
2012-07-09,-0.002202
2012-07-10,-0.008814
2012-07-11,-0.000290
2012-07-12,-0.004878
2012-07-13,0.015261
2012-07-16,-0.002480
2012-07-17,0.006707
2012-07-18,0.006261
2012-07-19,0.002839
2012-07-20,-0.009917
2012-07-23,-0.010165
2012-07-24,-0.009426
2012-07-25,0.000714
2012-07-26,0.015513
2012-07-27,0.018950
2012-07-30,-0.000763
2012-07-31,-0.004994
2012-08-01,-0.004475
2012-08-02,-0.007294
2012-08-03,0.019230
2012-08-06,0.003534
2012-08-07,0.006358
2012-08-08,0.000179
2012-08-09,0.001648
2012-08-10,0.001869
2012-08-13,-0.001884
2012-08-14,-0.000019
2012-08-15,0.002741
2012-08-16,0.007905
2012-08-17,0.002655
2012-08-20,-0.000607
2012-08-21,-0.002329
2012-08-22,-0.000102
2012-08-23,-0.007320
2012-08-24,0.005494
2012-08-27,-0.000560
2012-08-28,0.000261
2012-08-29,0.000994
2012-08-30,-0.007798
2012-08-31,0.005891
2012-09-04,0.000688
2012-09-05,-0.000598
2012-09-06,0.019461
2012-09-07,0.005649
2012-09-10,-0.005683
2012-09-11,0.003437
2012-09-12,0.002652
2012-09-13,0.015280
2012-09-14,0.006142
2012-09-17,-0.004543
2012-09-18,-0.001776
2012-09-19,0.001305
2012-09-20,-0.001942
2012-09-21,0.000444
2012-09-24,-0.003088
2012-09-25,-0.010814
2012-09-26,-0.005527
2012-09-27,0.010046
2012-09-28,-0.004491
2012-10-01,0.002807
2012-10-02,0.001181
2012-10-03,0.002508
2012-10-04,0.007674
2012-10-05,-0.000150
2012-10-08,-0.003568
2012-10-09,-0.009763
2012-10-10,-0.005554
2012-10-11,0.001750
2012-10-12,-0.003502
2012-10-15,0.007240
2012-10-16,0.009941
2012-10-17,0.005086
2012-10-18,-0.002676
2012-10-19,-0.015612
2012-10-22,0.000193
2012-10-23,-0.012926
2012-10-24,-0.002612
2012-10-25,0.003301
2012-10-26,-0.001382
2012-10-31,0.002480
2012-11-01,0.011214
2012-11-02,-0.009745
2012-11-05,0.002234
2012-11-06,0.007865
2012-11-07,-0.021060
2012-11-08,-0.011580
2012-11-09,0.000949
2012-11-12,-0.000216
2012-11-13,-0.004153
2012-11-14,-0.014701
2012-11-15,-0.002925
2012-11-16,0.006186
2012-11-19,0.019178
2012-11-20,0.000983
2012-11-21,0.003130
2012-11-23,0.012722
2012-11-26,-0.001641
2012-11-27,-0.004418
2012-11-28,0.007475
2012-11-29,0.005422
2012-11-30,0.000274
2012-12-03,-0.004214
2012-12-04,-0.001277
2012-12-05,0.001758
2012-12-06,0.002844
2012-12-07,0.002524
2012-12-10,0.001534
2012-12-11,0.006153
2012-12-12,0.000255
2012-12-13,-0.005872
2012-12-14,-0.003089
2012-12-17,0.010179
2012-12-18,0.011120
2012-12-19,-0.004643
2012-12-20,0.004892
2012-12-21,-0.008487
2012-12-24,-0.002207
2012-12-26,-0.004962
2012-12-27,-0.000685
2012-12-28,-0.009273
2012-12-31,0.016424
2013-01-02,0.024996
2013-01-03,-0.001911
2013-01-04,0.005653
2013-01-07,-0.002555
2013-01-08,-0.002208
2013-01-09,0.003403
2013-01-10,0.006790
2013-01-11,0.000244
2013-01-14,-0.000350
2013-01-15,0.001960
2013-01-16,-0.000738
2013-01-17,0.005930
2013-01-18,0.002942
2013-01-22,0.005180
2013-01-23,0.000286
2013-01-24,0.000638
2013-01-25,0.005250
2013-01-28,-0.001315
2013-01-29,0.003632
2013-01-30,-0.003846
2013-01-31,-0.000820
2013-02-01,0.009291
2013-02-04,-0.011035
2013-02-05,0.009248
2013-02-06,0.001293
2013-02-07,-0.002118
2013-02-08,0.005390
2013-02-11,-0.001003
2013-02-12,0.002191
2013-02-13,0.001389
2013-02-14,0.000865
2013-02-15,-0.002010
2013-02-19,0.006956
2013-02-20,-0.013325
2013-02-21,-0.007067
2013-02-22,0.008665
2013-02-25,-0.017160
2013-02-26,0.005656
2013-02-27,0.012275
2013-02-28,-0.000630
2013-03-01,0.001752
2013-03-04,0.003648
2013-03-05,0.009190
2013-03-06,0.001656
2013-03-07,0.002328
2013-03-08,0.004895
2013-03-11,0.002695
2013-03-12,-0.001929
2013-03-13,0.000805
2013-03-14,0.005963
2013-03-15,-0.001517
2013-03-18,-0.005326
2013-03-19,-0.002923
2013-03-20,0.007248
2013-03-21,-0.007562
2013-03-22,0.005842
2013-03-25,-0.003071
2013-03-26,0.007299
2013-03-27,-0.000118
2013-03-28,0.004054
2013-04-01,-0.005392
2013-04-02,0.002710
2013-04-03,-0.011859
2013-04-04,0.003826
2013-04-05,-0.003519
2013-04-08,0.006639
2013-04-09,0.003703
2013-04-10,0.011618
2013-04-11,0.003194
2013-04-12,-0.003780
2013-04-15,-0.025595
2013-04-16,0.014655
2013-04-17,-0.014689
2013-04-18,-0.005690
2013-04-19,0.009359
2013-04-22,0.004277
2013-04-23,0.010143
2013-04-24,0.002179
2013-04-25,0.004946
2013-04-26,-0.002476
2013-04-29,0.007371
2013-04-30,0.004139
2013-05-01,-0.010607
2013-05-02,0.009484
2013-05-03,0.010398
2013-05-06,0.002566
2013-05-07,0.005135
2013-05-08,0.005022
2013-05-09,-0.003689
2013-05-10,0.004676
2013-05-13,-0.000627
2013-05-14,0.009349
2013-05-15,0.003945
2013-05-16,-0.004594
2013-05-17,0.009395
2013-05-20,0.000649
2013-05-21,0.001600
2013-05-22,-0.009642
2013-05-23,-0.002446
2013-05-24,-0.001030
2013-05-28,0.006307
2013-05-29,-0.006970
2013-05-30,0.004204
2013-05-31,-0.013568
2013-06-03,0.004640
2013-06-04,-0.005563
2013-06-05,-0.013397
2013-06-06,0.008981
2013-06-07,0.011386
2013-06-10,0.000184
2013-06-11,-0.010890
2013-06-12,-0.008137
2013-06-13,0.015060
2013-06-14,-0.005379
2013-06-17,0.007193
2013-06-18,0.007358
2013-06-19,-0.013406
2013-06-20,-0.025751
2013-06-21,0.001443
2013-06-24,-0.012352
2013-06-25,0.010324
2013-06-26,0.008926
2013-06-27,0.008125
2013-06-28,-0.002809
2013-07-01,0.006716
2013-07-02,-0.001412
2013-07-03,0.000408
2013-07-05,0.009033
2013-07-08,0.005168
2013-07-09,0.007724
2013-07-10,0.000629
2013-07-11,0.014617
2013-07-12,0.002470
2013-07-15,0.002326
2013-07-16,-0.003791
2013-07-17,0.003003
2013-07-18,0.005469
2013-07-19,0.001494
2013-07-22,0.002802
2013-07-23,-0.001167
2013-07-24,-0.004921
2013-07-25,0.003967
2013-07-26,0.000137
2013-07-29,-0.003759
2013-07-30,0.000403
2013-07-31,0.000199
2013-08-01,0.012261
2013-08-02,0.001331
2013-08-05,-0.000734
2013-08-06,-0.006571
2013-08-07,-0.004516
2013-08-08,0.005441
2013-08-09,-0.001916
2013-08-12,-0.000143
2013-08-13,0.001516
2013-08-14,-0.004099
2013-08-15,-0.012968
2013-08-16,-0.002938
2013-08-19,-0.007099
2013-08-20,0.005669
2013-08-21,-0.006167
2013-08-22,0.009128
2013-08-23,0.004367
2013-08-26,-0.002845
2013-08-27,-0.016307
2013-08-28,0.002623
2013-08-29,0.003198
2013-08-30,-0.004832
2013-09-03,0.004517
2013-09-04,0.007599
2013-09-05,0.001828
2013-09-06,0.001057
2013-09-09,0.010849
2013-09-10,0.007216
2013-09-11,0.002744
2013-09-12,-0.004003
2013-09-13,0.002645
2013-09-16,0.005156
2013-09-17,0.004981
2013-09-18,0.012556
2013-09-19,-0.001145
2013-09-20,-0.007311
2013-09-23,-0.004154
2013-09-24,-0.001217
2013-09-25,-0.001662
2013-09-26,0.003963
2013-09-27,-0.003599
2013-09-30,-0.004862
2013-10-01,0.008707
2013-10-02,-0.000674
2013-10-03,-0.008609
2013-10-04,0.006741
2013-10-07,-0.008482
2013-10-08,-0.013084
2013-10-09,-0.000451
2013-10-10,0.020996
2013-10-11,0.006894
2013-10-14,0.004080
2013-10-15,-0.006865
2013-10-16,0.012758
2013-10-17,0.007750
2013-10-18,0.006939
2013-10-21,0.000141
2013-10-22,0.005534
2013-10-23,-0.005308
2013-10-24,0.004055
2013-10-25,0.003147
2013-10-28,0.000342
2013-10-29,0.004437
2013-10-30,-0.005665
2013-10-31,-0.003506
2013-11-01,0.001408
2013-11-04,0.004324
2013-11-05,-0.003013
2013-11-06,0.003040
2013-11-07,-0.013878
2013-11-08,0.012349
2013-11-11,0.001003
2013-11-12,-0.002249
2013-11-13,0.008519
2013-11-14,0.004571
2013-11-15,0.004409
2013-11-18,-0.004646
2013-11-19,-0.003367
2013-11-20,-0.003294
2013-11-21,0.008658
2013-11-22,0.004566
2013-11-25,-0.001436
2013-11-26,0.001078
2013-11-27,0.002738
2013-11-29,0.000159
2013-12-02,-0.003638
2013-12-03,-0.003715
2013-12-04,-0.000941
2013-12-05,-0.003514
2013-12-06,0.009683
2013-12-09,0.001868
2013-12-10,-0.002813
2013-12-11,-0.012070
2013-12-12,-0.002543
2013-12-13,0.001277
2013-12-16,0.006445
2013-12-17,-0.002344
2013-12-18,0.014462
2013-12-19,-0.001026
2013-12-20,0.006904
2013-12-23,0.006229
2013-12-24,0.003476
2013-12-26,0.003993
2013-12-27,-0.000061
2013-12-30,0.000277
2013-12-31,0.004255
2014-01-02,-0.008757
2014-01-03,0.000491
2014-01-06,-0.003340
2014-01-07,0.006090
2014-01-08,0.000155
2014-01-09,0.000090
2014-01-10,0.003567
2014-01-13,-0.011641
2014-01-14,0.010257
2014-01-15,0.005066
2014-01-16,-0.000279
2014-01-17,-0.003454
2014-01-21,0.003351
2014-01-22,0.001484
2014-01-23,-0.008159
2014-01-24,-0.021135
2014-01-27,-0.006632
2014-01-28,0.007293
2014-01-29,-0.009930
2014-01-30,0.011487
2014-01-31,-0.005796
2014-02-03,-0.023197
2014-02-04,0.007612
2014-02-05,-0.001952
2014-02-06,0.011924
2014-02-07,0.012595
2014-02-10,0.001576
2014-02-11,0.010599
2014-02-12,0.001149
2014-02-13,0.006957
2014-02-14,0.004104
2014-02-18,0.003182
2014-02-19,-0.006797
2014-02-20,0.006440
2014-02-21,-0.000817
2014-02-24,0.006174
2014-02-25,-0.001268
2014-02-26,0.001034
2014-02-27,0.004900
2014-02-28,0.001673
2014-03-03,-0.006637
2014-03-04,0.015433
2014-03-05,0.000357
2014-03-06,0.001723
2014-03-07,-0.000796
2014-03-10,-0.001258
2014-03-11,-0.005526
2014-03-12,0.001300
2014-03-13,-0.011137
2014-03-14,-0.001383
2014-03-17,0.008275
2014-03-18,0.007665
2014-03-19,-0.006779
2014-03-20,0.004709
2014-03-21,-0.002864
2014-03-24,-0.006075
2014-03-25,0.003439
2014-03-26,-0.008153
2014-03-27,-0.001045
2014-03-28,0.004470
2014-03-31,0.009182
2014-04-01,0.008258
2014-04-02,0.002821
2014-04-03,-0.003118
2014-04-04,-0.012591
2014-04-07,-0.011655
2014-04-08,0.005386
2014-04-09,0.011291
2014-04-10,-0.020774
2014-04-11,-0.009794
2014-04-14,0.006520
2014-04-15,0.005170
2014-04-16,0.010627
2014-04-17,0.002272
2014-04-21,0.003484
2014-04-22,0.005567
2014-04-23,-0.002758
2014-04-24,0.000719
2014-04-25,-0.009470
2014-04-28,0.001060
2014-04-29,0.005627
2014-04-30,0.003405
2014-05-01,0.000772
2014-05-02,-0.000260
2014-05-05,0.001302
2014-05-06,-0.008724
2014-05-07,0.004403
2014-05-08,-0.002682
2014-05-09,0.001571
2014-05-12,0.011167
2014-05-13,-0.000666
2014-05-14,-0.004726
2014-05-15,-0.008375
2014-05-16,0.003401
2014-05-19,0.004287
2014-05-20,-0.006933
2014-05-21,0.007421
2014-05-22,0.003498
2014-05-23,0.004761
2014-05-27,0.005896
2014-05-28,-0.001316
2014-05-29,0.004918
2014-05-30,0.000641
2014-06-02,0.000707
2014-06-03,-0.000369
2014-06-04,0.002554
2014-06-05,0.007261
2014-06-06,0.005115
2014-06-09,0.001870
2014-06-10,-0.000362
2014-06-11,-0.003074
2014-06-12,-0.005675
2014-06-13,0.003056
2014-06-16,0.001411
2014-06-17,0.002951
2014-06-18,0.006963
2014-06-19,0.001678
2014-06-20,0.002081
2014-06-23,0.000131
2014-06-24,-0.006979
2014-06-25,0.005115
2014-06-26,-0.000561
2014-06-27,0.002890
2014-06-30,0.001035
2014-07-01,0.006789
2014-07-02,-0.000317
2014-07-03,0.004968
2014-07-07,-0.006110
2014-07-08,-0.007345
2014-07-09,0.004480
2014-07-10,-0.004858
2014-07-11,0.000777
2014-07-14,0.004563
2014-07-15,-0.003284
2014-07-16,0.003751
2014-07-17,-0.010966
2014-07-18,0.010250
2014-07-21,-0.002171
2014-07-22,0.005105
2014-07-23,0.001843
2014-07-24,0.000244
2014-07-25,-0.005025
2014-07-28,-0.000513
2014-07-29,-0.003659
2014-07-30,0.000540
2014-07-31,-0.019359
2014-08-01,-0.003442
2014-08-04,0.007129
2014-08-05,-0.008884
2014-08-06,0.000300
2014-08-07,-0.004897
2014-08-08,0.010292
2014-08-11,0.004768
2014-08-12,-0.002199
2014-08-13,0.006608
2014-08-14,0.004202
2014-08-15,0.000294
2014-08-18,0.008519
